,,,千駄ヶ谷,信濃町,451869 ,27353 ,12398 ,16958 ,20720 ,22200 ,16280 ,11840 ,22200 ,41440 ,41440 ,44400 ,29600 ,26640 ,25160 ,22200 ,23680 ,20720 ,20720 ,5920 
,,,信濃町,四ッ谷,451869 ,25873 ,13878 ,16958 ,20720 ,20720 ,17760 ,11840 ,22200 ,41440 ,41440 ,42920 ,29600 ,28120 ,23680 ,23680 ,23680 ,20720 ,20720 ,5920 
,,,四ッ谷,市ヶ谷,451869 ,25873 ,12398 ,16958 ,20720 ,22200 ,17760 ,11840 ,22200 ,41440 ,39960 ,44400 ,29600 ,26640 ,25160 ,23680 ,23680 ,20720 ,19240 ,7400 
,,,市ヶ谷,飯田橋,451869 ,25873 ,12398 ,15478 ,19240 ,22200 ,17760 ,13320 ,20720 ,42920 ,41440 ,42920 ,29600 ,28120 ,25160 ,22200 ,23680 ,19240 ,22200 ,7400 
,,,飯田橋,水道橋,451869 ,25873 ,12398 ,16958 ,19240 ,22200 ,16280 ,13320 ,20720 ,42920 ,41440 ,42920 ,29600 ,26640 ,25160 ,23680 ,23680 ,19240 ,22200 ,7400 
,,,水道橋,御茶ノ水,451869 ,24393 ,12398 ,16958 ,20720 ,20720 ,17760 ,13320 ,20720 ,41440 ,41440 ,42920 ,31080 ,26640 ,25160 ,23680 ,22200 ,20720 ,22200 ,7400 
,,,御茶ノ水,神田,451869 ,24393 ,12398 ,15478 ,20720 ,20720 ,17760 ,14800 ,19240 ,42920 ,41440 ,42920 ,29600 ,26640 ,25160 ,23680 ,23680 ,19240 ,22200 ,8880 
,,,神田,東京,451869 ,24393 ,11840 ,14556 ,20720 ,20720 ,17760 ,14800 ,20720 ,42920 ,41440 ,41440 ,29600 ,26640 ,25160 ,25160 ,22200 ,19240 ,23680 ,8880 
,,,,,0 ,,,,,,,,,,,,,,,,,,,
,東北本線,下り,上野,尾久,154692 ,12768 ,1324 ,6072 ,4048 ,6072 ,4048 ,4048 ,5996 ,15492 ,14792 ,15492 ,12144 ,11444 ,10744 ,8020 ,8720 ,7396 ,6072 ,0 
,,,尾久,赤羽,154692 ,11444 ,2648 ,4048 ,4048 ,6072 ,6072 ,4048 ,4672 ,14792 ,14792 ,15492 ,12144 ,11444 ,10744 ,8720 ,10044 ,7396 ,6072 ,0 
,,,赤羽,浦和,154692 ,11444 ,2648 ,4048 ,4048 ,6072 ,4048 ,6072 ,4672 ,14792 ,14792 ,15492 ,10120 ,13468 ,10744 ,8720 ,8020 ,9420 ,6072 ,0 
,,,浦和,さいたま新都心,154692 ,9420 ,3348 ,3348 ,6072 ,4048 ,6072 ,4048 ,6696 ,14792 ,14792 ,15492 ,10120 ,11444 ,10744 ,10744 ,8020 ,7396 ,8096 ,0 
